1111,045468111110,242
1123,045468112315,369
1131A,045468113114,420
1141,045468114111,2325
1200M05,045468004016,26
1200M055,045468004023,23
1200M06,045468004030,21
1200M065,045468004047,13
1200M07,045468004054,24
1200M075,045468004061,28
1200M08,045468004078,35
1200M085,045468004085,32
1200M09,045468004092,36
1200M095,045468004108,41
1200M10,045468004115,48
1200M105,045468004122,37
1200M11,045468004139,34
1200M115,045468004146,36
1200M12,045468004153,50
1200M125,045468004160,17
1200M13,045468004177,12
1200M14,045468004184,14
1200M15,045468004191,11
1200M16,045468004207,5
1200W045,045468005518,6
1200W05,045468005525,7
1200W055,045468005532,13
1200W06,045468005549,22
1200W065,045468005556,14
1200W07,045468005563,11
1200W075,045468005570,16
1200W08,045468005587,22
1200W085,045468005594,31
1200W09,045468005600,46
1200W095,045468005617,16
1200W10,045468005624,30
1200W105,045468005631,6
1200W11,045468005648,17
1200W115,045468005655,6
1200W12,045468005662,15
1200W13,045468005679,6
1200X06,045468006041,12
1200X065,045468006058,23
1200X07,045468006065,13
1200X075,045468006072,16
1200X08,045468006089,38
1200X085,045468006096,14
1200X09,045468006102,8
1200X095,045468006119,7
1200X10,045468006126,28
1200X115,045468006157,10
1200X12,045468006164,31
1200X125,045468006171,19
1200X13,045468006188,21
1200X14,045468006195,19
1200X15,045468006201,3
1200X16,045468006218,1
1201M05,045468014015,5
1201M06,045468014039,16
1201M08,045468014077,2
1201M09,045468014091,67
1201M10,045468014114,45
1201M11,045468014138,120
1201M12,045468014152,49
1201M14,045468014183,16
1201M15,045468014190,12
1201W05,045468015524,7
1201W06,045468015548,1
1201W07,045468015562,8
1201W09,045468015609,7
1201W10,045468015623,1
1209ML05,045468094017,2
1209ML07,045468094055,4
1209ML09,045468094093,2
1209ML11,045468094130,3
1209ML12,045468094154,1
1209ML15,045468094192,5
1209ML16,045468094208,10
1209MR05,045468194014,8
1209MR06,045468194038,5
1209MR07,045468194052,3
1209MR08,045468194076,16
1209MR11,045468194137,6
1209MR12,045468194151,4
1209MR13,045468194175,4
1209MR15,045468194199,6
1209MR16,045468194205,5
1209WL05,045468095526,10
1209WL06,045468095540,8
1209WL07,045468095564,14
1209WL08,045468095588,13
1209WL09,045468095601,13
1209WL10,045468095625,7
1209WL11,045468095649,6
1209WL12,045468095663,4
1209WL13,045468095670,4
1209WR04,045468195509,9
1209WR05,045468195523,1
1209WR06,045468195547,6
1209WR07,045468195561,12
1209WR08,045468195585,12
1209WR09,045468195608,14
1209WR10,045468195622,6
1209WR11,045468195646,9
1209WR12,045468195660,1
1209WR13,045468195677,8
1209XL05,045468096127,4
1209XL06,045468096035,3
1209XL07,045468096059,18
1209XL08,045468096073,3
1209XL10,045468096110,13
1209XL11,045468096134,2
1209XL12,045468096158,1
1209XL13,045468096172,6
1209XL14,045468096189,17
1209XL15,045468096196,6
1209XL16,045468096202,4
1209XR05,045468196018,7
1209XR06,045468196032,7
1209XR07,045468196056,4
1209XR08,045468196070,3
1209XR09,045468196094,10
1209XR10,045468196117,19
1209XR11,045468196131,2
1209XR14,045468196186,36
1209XR15,045468196193,27
1209XR16,045468196209,4
1260MM065,045468601048,3
1260MM07,045468601055,7
1260MM075,045468601062,15
1260MM08,045468601079,2
1260MM085,045468601086,13
1260MM09,045468601093,114
1260MM095,045468601109,15
1260MM105,045468601123,60
1260MM11,045468601130,2
1260MM115,045468601147,159
1260MM12,045468601154,31
1260MM125,045468601161,24
1260MM13,045468601178,33
1260MM14,045468601185,21
1260MM15,045468601192,10
1260MM16,045468601208,6
1260MW065,045468602045,75
1260MW07,045468602052,63
1260MW075,045468602069,42
1260MW08,045468602076,114
1260MW085,045468602083,121
1260MW09,045468602090,150
1260MW095,045468602106,51
1260MW10,045468602113,108
1260MW105,045468602120,123
1260MW11,045468602137,98
1260MW115,045468602144,65
1260MW12,045468602151,30
1260MW125,045468602168,57
1260MW13,045468602175,107
1260MW14,045468602182,34
1260MW15,045468602199,15
1260MW16,045468602205,8
1260MX065,045468603042,60
1260MX07,045468603059,49
1260MX075,045468603066,42
1260MX08,045468603073,81
1260MX085,045468603080,68
1260MX09,045468603097,65
1260MX095,045468603103,36
1260MX10,045468603110,95
1260MX105,045468603127,114
1260MX11,045468603134,140
1260MX115,045468603141,32
1260MX12,045468603158,101
1260MX125,045468603165,56
1260MX13,045468603172,83
1260MX14,045468603189,52
1260MX15,045468603196,31
1260MX16,045468603202,26
1260MXX065,045468105171,6
1260MXX07,045468105188,5
1260MXX075,045468105195,10
1260MXX08,045468105201,6
1260MXX085,045468105898,4
1260MXX09,045468105232,25
1260MXX095,045468105249,10
1260MXX10,045468105256,3
1260MXX105,045468105904,4
1260MXX11,045468105270,26
1260MXX115,045468105287,14
1260MXX12,045468105294,3
1260MXX125,045468105300,5
1260MXX13,045468105324,8
1260MXX14,045468105966,4
1260MXX15,045468105348,4
1260MXX16,045468105355,5
1260WM045,045468601512,1
1260WM05,045468601529,5
1260WM055,045468601536,4
1260WM06,045468601543,9
1260WM065,045468601550,20
1260WM07,045468601567,31
1260WM075,045468601574,20
1260WM08,045468601581,8
1260WM085,045468601598,34
1260WM09,045468601604,17
1260WM095,045468601611,19
1260WM10,045468601628,31
1260WM105,045468601635,3
1260WM11,045468601642,6
1260WM12,045468601666,3
1260WM13,045468601673,12
1260WW045,045468602519,8
1260WW05,045468602526,6
1260WW055,045468602533,10
1260WW06,045468602540,20
1260WW065,045468602557,12
1260WW07,045468602564,20
1260WW075,045468602571,17
1260WW08,045468602588,25
1260WW085,045468602595,1
1260WW09,045468602601,13
1260WW095,045468602618,9
1260WW10,045468602625,27
1260WW105,045468602632,32
1260WW11,045468602649,9
1260WW12,045468602663,5
1260WW13,045468602670,9
1260WX045,045468603516,5
1260WX05,045468603523,8
1260WX055,045468603530,13
1260WX06,045468603547,12
1260WX065,045468603554,26
1260WX07,045468603561,22
1260WX075,045468603578,7
1260WX08,045468603585,23
1260WX085,045468603592,22
1260WX09,045468603608,18
1260WX095,045468603615,15
1260WX10,045468603622,14
1260WX105,045468603639,24
1260WX11,045468603646,15
1260WX12,045468603660,12
1260WX13,045468603677,13
1264WM045,045468641518,8
1264WM05,045468641525,3
1264WM055,045468641532,7
1264WM075,045468641570,1
1264WM08,045468641587,8
1264WM085,045468641594,1
1264WM09,045468641600,3
1264WM105,045468641631,4
